LEVEL1,LEVEL 2,LEVEL 3,LEVEL 4,LEVEL 5
art and entertainment,books and literature,mythology,,
art and entertainment,books and literature,poetry,,
art and entertainment,books and literature,,,
art and entertainment,celebrity fan and gossip,bollywood,,
art and entertainment,celebrity fan and gossip,hollywood,,
art and entertainment,dance,modern dance,,
art and entertainment,dance,bollywood,,
art and entertainment,dance,,,
art and entertainment,humor,,,
art and entertainment,movies,film festivals and awards,,
art and entertainment,movies and tv,genres,action,
art and entertainment,movies and tv,genres,animated,
art and entertainment,movies and tv,genres,children's,
art and entertainment,movies and tv,genres,comedies,
art and entertainment,movies and tv,genres,cult classics,
art and entertainment,movies and tv,genres,documentaries,
art and entertainment,movies and tv,genres,dramas,
art and entertainment,movies and tv,genres,horror,
art and entertainment,movies and tv,genres,reality,
art and entertainment,movies and tv,genres,talk shows,
art and entertainment,movies and tv,genres,,
art and entertainment,movies and tv,industry,hollywood,
art and entertainment,movies and tv,industry,bollywood,
art and entertainment,movies and tv,industry,,
art and entertainment,movies and tv,series,web series,
art and entertainment,movies and tv,series,television,
art and entertainment,movies and tv,series,,
art and entertainment,movies and tv,reviews,,
art and entertainment,movies and tv,trailers,,
art and entertainment,movies and tv,movies,,
art and entertainment,music,music genres,blues,
art and entertainment,music,music genres,classical music,
art and entertainment,music,music genres,country music,
art and entertainment,music,music genres,easy listening,
art and entertainment,music,music genres,electronic music,
art and entertainment,music,music genres,folk music,
art and entertainment,music,music genres,hip hop,
art and entertainment,music,music genres,jazz,
art and entertainment,music,music genres,opera,
art and entertainment,music,music genres,pop music,
art and entertainment,music,music genres,punk,
art and entertainment,music,music genres,religious music,
art and entertainment,music,music genres,rock music,
art and entertainment,music,music genres,ska,
art and entertainment,music,music genres,soul music,
art and entertainment,music,music genres,soundtracks,
art and entertainment,music,music genres,world music,
art and entertainment,music,music reference,music composition and theory,
art and entertainment,music,music reference,sheet music,
art and entertainment,music,musical instruments,drums,
art and entertainment,music,musical instruments,guitars,
art and entertainment,music,musical instruments,pianos,
art and entertainment,music,musical instruments,,
art and entertainment,music,recording industry,music awards,
art and entertainment,music,recording industry,record labels,
art and entertainment,music,recording industry,,
art and entertainment,music,singing,,
art and entertainment,music,,,
art and entertainment,shows and events,beauty contest,,
art and entertainment,shows and events,concert,,
art and entertainment,shows and events,conference,,
art and entertainment,shows and events,exhibition,,
art and entertainment,shows and events,festival,,
art and entertainment,shows and events,sports event,,
art and entertainment,theatre,,,
art and entertainment,visual art and design,architecture,,
art and entertainment,visual art and design,art and craft ,,
art and entertainment,visual art and design,design,graphic design,
art and entertainment,visual art and design,design,cgi and vfx,
art and entertainment,visual art and design,design,,
art and entertainment,visual art and design,digital art,,
art and entertainment,visual art and design,drawing,,
art and entertainment,visual art and design,painting,,
art and entertainment,visual art and design,performance art,,
art and entertainment,visual art and design,restoration,,
art and entertainment,visual art and design,sculpture,,
art and entertainment,visual art and design,,,
art and entertainment,,,,
automotive and vehicles,cars,car industry,,
automotive and vehicles,cars,convertible,,
automotive and vehicles,cars,coupe,,
automotive and vehicles,cars,crossover,,
automotive and vehicles,cars,diesel,,
automotive and vehicles,cars,hatchback,,
automotive and vehicles,cars,hybrid,,
automotive and vehicles,cars,luxury,,
automotive and vehicles,cars,performance vehicles,,
automotive and vehicles,cars,sedan,,
automotive and vehicles,cars,vintage cars,,
automotive and vehicles,cars,,,
automotive and vehicles,commercial vehicles,,,
automotive and vehicles,electric vehicles,,,
automotive and vehicles,motor shows,,,
automotive and vehicles,motorcycles,,,
automotive and vehicles,off-road vehicles,,,
automotive and vehicles,vehicle brands,,,
automotive and vehicles,,,,
business and industrial,advertising and marketing,,,
business and industrial,aerospace and defense,defense industry,,
business and industrial,aerospace and defense,space technology,,
business and industrial,aerospace and defense,,,
business and industrial,agriculture and forestry,,,
business and industrial,biomedical,,,
business and industrial,business news,,,
business and industrial,business operations,business plans,,
,business operations,startups,,
business and industrial,business operations,,,
business and industrial,business software,,,
business and industrial,company,annual report,,
business and industrial,company,bankruptcy,,
business and industrial,company,earnings,,
business and industrial,company,joint venture,,
business and industrial,company,merger and acquisition,,
business and industrial,construction,,,
business and industrial,energy,coal,,
business and industrial,energy,electricity,,
business and industrial,energy,natural gas,,
business and industrial,energy,nuclear power,nuclear accident,
business and industrial,energy,nuclear power,,
business and industrial,energy,oil,diesel fuel,
business and industrial,energy,oil,oil and gas prices,
business and industrial,energy,oil,oil company,
business and industrial,energy,oil,,
business and industrial,energy,renewable energy,,
business and industrial,fashion industry,,,
business and industrial,hospitality industry,event planning,,
business and industrial,war industry,weaponry,,
business and industrial,,,,
careers,career advice and planning,,,
careers,job,,,
careers,resume writing and advice,,,
education,art history,,,
education,distance learning,,,
education,graduate school,,,
education,homework and study tips,,,
education,school,,,
education,,,,
finance,financial news,,,
finance,"grants, scholarships and financial aid",,,
finance,investing,brokerages,,
finance,investing,day trading,,
finance,investing,funds,exchange traded funds,
finance,investing,funds,hedge fund,
finance,investing,funds,mutual funds,
finance,investing,futures trading,,
finance,investing,options,,
finance,investing,portfolio,,
finance,investing,stocks,,
finance,investing,venture capital,,
finance,investing,,,
finance,personal finance,,,
finance,,,,
food and drink,barbecues and grilling,,,
food and drink,beverages,,,
food and drink,cuisines,american cuisine,,
food and drink,cuisines,chinese cuisine,,
food and drink,cuisines,indian cuisine,,
food and drink,cuisines,regional cuisine,,
food and drink,desserts and baking,,,
food and drink,dining out,,,
food and drink,food,baked goods,,
food and drink,food,breakfast foods,,
food and drink,food,condiments and dressings,,
food and drink,food,fast food,,
food and drink,food,frozen food,,
food and drink,food,fruits and vegetables,,
food and drink,food,grains and pasta,,
food and drink,food,herbs and spices,,
food and drink,food,salads,,
food and drink,food,snack foods,,
food and drink,food allergies,,,
food and drink,health and lowfat cooking,,,
food and drink,healthy eating,,,
food and drink,vegan,,,
food and drink,vegetarian,,,
health and fitness,addiction,,,
health and fitness,aging,,,
health and fitness,alternative medicine,,,
health and fitness,dental care,,,
health and fitness,disease,aids and hiv,,
health and fitness,disease,allergies,,
health and fitness,disease,bone disease,,
health and fitness,disease,lungs disease,,
health and fitness,disease,brain disease,,
health and fitness,disease,cancer,,
health and fitness,disease,cholesterol,,
health and fitness,disease,cold and flu,,
health and fitness,disease,diability,,
health and fitness,disease,diabetes,,
health and fitness,disease,epidemic,,
health and fitness,disease,pandemic,,
health and fitness,disease,headaches and migraines,,
health and fitness,disease,heart disease,,
health and fitness,disease,ibs and crohn's disease,,
health and fitness,disease,incontinence,,
health and fitness,disease,infertility,,
health and fitness,disease,thyroid disease,,
health and fitness,disease,,,
health and fitness,disorders,mental disorder,a.d.d.,
health and fitness,disorders,mental disorder,bipolar disorder,
health and fitness,disorders,mental disorder,depression,
health and fitness,disorders,mental disorder,panic and anxiety,
health and fitness,disorders,mental disorder,,
health and fitness,disorders,sleep disorders,,
health and fitness,disorders,,,
health and fitness,exercise,,,
health and fitness,men's health,,,
health and fitness,nutrition,,,
health and fitness,sexuality,,,
health and fitness,therapy,,,
health and fitness,weight loss,,,
health and fitness,women's health,,,
health and fitness,,,,
hobbies and interests,art and technology,,,
hobbies and interests,arts and crafts,jewelry making,,
hobbies and interests,arts and crafts,knitting,,
hobbies and interests,arts and crafts,photography,,
hobbies and interests,arts and crafts,pottery,,
hobbies and interests,arts and crafts,woodworking,,
hobbies and interests,arts and crafts,,,
hobbies and interests,astrology,,,
hobbies and interests,games,board games and puzzles,,
hobbies and interests,games,chess,,
hobbies and interests,games,gambling,,
hobbies and interests,games,video and computer games,,
hobbies and interests,guitar,,,
hobbies and interests,home recording,,,
hobbies and interests,inventors and patents,,,
hobbies and interests,magic and illusion,,,
hobbies and interests,paranormal phenomena,occult,,
hobbies and interests,paranormal phenomena,parapsychology,,
hobbies and interests,paranormal phenomena,,,
hobbies and interests,,,,
home and garden,appliances,,,
home and garden,home decor adn furnitures,,,
home and garden,interior decorating,,,
home and garden,luxury homes,,,
home and garden,,,,
"law, govt and politics",armed forces,air force,,
"law, govt and politics",armed forces,army,,
"law, govt and politics",armed forces,marines,,
"law, govt and politics",armed forces,navy,,
"law, govt and politics",armed forces,veterans,,
"law, govt and politics",commentary,,,
"law, govt and politics",espionage and intelligence,secret service,,
"law, govt and politics",espionage and intelligence,surveillance,,
"law, govt and politics",espionage and intelligence,terrorism,,
"law, govt and politics",espionage and intelligence,,,
"law, govt and politics",government,courts and judiciary,,
"law, govt and politics",government,embassies and consulates,,
"law, govt and politics",government,executive branch,,
"law, govt and politics",government,government agencies,,
"law, govt and politics",government,government contracting and procurement,,
"law, govt and politics",government,heads of state,,
"law, govt and politics",government,legislative,,
"law, govt and politics",government,parliament,,
"law, govt and politics",government,state and local government,,
"law, govt and politics",government,,,
"law, govt and politics",immigration,,,
"law, govt and politics",law enforcement,fire department,,
"law, govt and politics",law enforcement,highway patrol,,
"law, govt and politics",law enforcement,police,,
"law, govt and politics",law enforcement,,,
"law, govt and politics",legal issues,civil law,copyright,
"law, govt and politics",legal issues,civil law,,
"law, govt and politics",legal issues,civil rights,,
"law, govt and politics",legal issues,civil rights,privacy,
"law, govt and politics",legal issues,criminal law,,
"law, govt and politics",legal issues,death penalty,,
"law, govt and politics",legal issues,human rights,,
"law, govt and politics",legal issues,international law,,
"law, govt and politics",legal issues,legislation,building laws,
"law, govt and politics",legal issues,legislation,education laws,
"law, govt and politics",legal issues,legislation,family laws,
"law, govt and politics",legal issues,legislation,health care laws,
"law, govt and politics",legal issues,legislation,immigration laws,
"law, govt and politics",legal issues,legislation,tax laws,
"law, govt and politics",legal issues,legislation,,
"law, govt and politics",legal issues,,,
"law, govt and politics",politics,domestic policy,,
"law, govt and politics",politics,elections,local elections,
"law, govt and politics",politics,elections,presidential elections,
"law, govt and politics",politics,elections,referendums,
"law, govt and politics",politics,elections,,
"law, govt and politics",politics,foreign policy,,
"law, govt and politics",politics,lobbying,,
"law, govt and politics",politics,political parties,,
"law, govt and politics",politics,,,
"law, govt and politics",,,,
news,international news,,,
news,local news,,,
news,national news,,,
news,,,,
pets,,,,
real estate,,,,
religion and spirituality,alternative religions,,,
religion and spirituality,atheism and agnosticism,,,
religion and spirituality,buddhism,,,
religion and spirituality,christianity,,,
religion and spirituality,hinduism,,,
religion and spirituality,islam,,,
religion and spirituality,judaism,,,
religion and spirituality,,,,
science,biology,biotechnology,,
science,biology,botany,,
science,biology,breeding,,
science,biology,cytology,,
science,biology,marine biology,,
science,biology,molecular biology,,
science,biology,zoology,endangered species,
science,biology,zoology,entomology,
science,biology,zoology,ornithology,
science,biology,zoology,,
science,biology,,,
science,chemistry,organic chemistry,,
science,chemistry,,,
science,computer science,artificial intelligence,,
science,computer science,cryptography,,
science,computer science,distributed systems,,
science,computer science,information science,,
science,computer science,software engineering,,
science,computer science,,,
science,computer science,environmental disaster,,
science,computer science,pollution,,
science,computer science,waste management,recycling,
science,computer science,waste management,waste disposal,
science,computer science,,,
science,computer science,,,
science,computer science,cartography,,
science,geography,,,
science,geology,,,
science,mathematics,algebra,,
science,mathematics,arithmetic,,
science,mathematics,geometry,,
science,mathematics,statistics,,
science,mathematics,,,
science,medicine,cardiology,,
science,medicine,dermatology,,
science,medicine,embryology,,
science,medicine,genetics,,
science,medicine,immunology,,
science,medicine,medical research,,
science,medicine,oncology,,
science,medicine,orthopedics,,
science,medicine,pediatrics,,
science,medicine,pharmacology,,
science,medicine,physiology,,
science,medicine,psychology and psychiatry,psychoanalysis,
science,medicine,psychology and psychiatry,,
science,medicine,surgery,cosmetic surgery,
science,medicine,surgery,transplants,
science,medicine,surgery,,
science,medicine,veterinary medicine,,
science,medicine,,,
science,physics,atomic physics,,
science,physics,astrophysics,,
science,physics,electromagnetism,,
science,physics,hydraulics,,
science,physics,nanotechnology,,
science,physics,optics,,
science,physics,space and astronomy,,
science,physics,thermodynamics,,
science,physics,,,
science,social science,anthropology,,
science,social science,history,ancient history,
science,social science,history,archaeology,
science,social science,history,genealogy,
science,social science,history,heraldry,
science,social science,history,medieval history,
science,social science,history,modern history,
science,social science,history,prehistory,
science,social science,history,,
science,social science,philosophy,,
science,social science,sociology,,
science,social science,,,
science,weather,meteorological disaster,flood,
science,weather,meteorological disaster,hurricane,
science,weather,meteorological disaster,tornado,
science,weather,meteorological disaster,,
science,weather,,,
science,,,,
shopping,resources,contests and freebies,,
shopping,resources,coupons,,
shopping,resources,loyalty programs,,
shopping,resources,product reviews,,
shopping,retail,online stores,,
shopping,retail,outlet stores,,
shopping,retail,,,
shopping,,,,
society,crime,drug trafficking,,
society,crime,organized crime,,
society,crime,property crime,,
society,crime,sexual offense,,
society,crime,,,
society,dating,,,
society,gay life,,,
society,racism,,,
society,senior living,,,
,life,,,
society,sex,pornography,,
society,sex,sex education,,
society,sex,,,
society,social institution,divorce,,
society,social institution,marriage,,
society,teens,,,
society,unrest and war,,,
society,welfare,healthcare,hospital,
society,welfare,healthcare,,
society,welfare,social services,,
society,welfare,,,
society,work,contracts,,
society,work,retirement,,
society,work,unemployment,,
society,work,unions,,
society,,,,
sports,archery,,,
sports,auto racing,nascar,,
sports,auto racing,rally,,
sports,auto racing,,,
sports,badminton,,,
sports,baseball,,,
sports,basketball,,,
sports,bicycling,mountain biking,,
sports,bicycling,,,
sports,billiards,,,
sports,boat racing,,,
sports,bobsled,,,
sports,bodybuilding,,,
sports,bowling,,,
sports,boxing,,,
sports,canoeing and kayaking,,,
sports,cheerleading,,,
sports,climbing,mountain climbing,,
sports,climbing,rock climbing,,
sports,climbing,,,
sports,cricket,,,
sports,curling,,,
sports,diving,,,
sports,dog sled,,,
sports,fencing,,,
sports,fishing,,,
sports,football,,,
sports,go kart,,,
sports,golf,,,
sports,gymnastics,calisthenics,,
sports,gymnastics,,,
sports,handball,,,
sports,hockey,field hockey,,
sports,hockey,,,
sports,horse racing,,,
sports,horses,,,
sports,hunting and shooting,skeet shooting,,
sports,hunting and shooting,target shooting,,
sports,hunting and shooting,,,
sports,martial arts,judo,,
sports,martial arts,karate,,
sports,martial arts,sumo,,
sports,martial arts,,,
sports,motorcycling,,,
sports,olympics,paralympic games,,
sports,olympics,,,
sports,paintball,,,
sports,parachuting,,,
sports,polo,,,
sports,rodeo,,,
sports,rowing,,,
sports,rugby,,,
sports,running and jogging,,,
sports,sailing,,,
sports,scuba diving,,,
sports,skateboarding,,,
sports,skating,figure skating,,
sports,skating,ice skating,,
sports,skating,roller skating,,
sports,skating,,,
sports,skiing,waterskiing,,
sports,skiing,,,
sports,snowboarding,,,
sports,soccer,,,
sports,softball,,,
sports,sports news,,,
sports,surfing and bodyboarding,,,
sports,swimming,,,
sports,table tennis and ping-pong,,,
sports,tennis,,,
sports,trekking,,,
sports,volleyball,beach volleyball,,
sports,volleyball,,,
sports,wakeboarding,,,
sports,walking,,,
sports,water polo,,,
sports,weightlifting,,,
sports,windsurfing,,,
sports,wrestling,,,
sports,,,,
style and fashion,accessories,backpacks,,
style and fashion,accessories,gloves,,
style and fashion,accessories,hats,,
style and fashion,accessories,scarves,,
style and fashion,accessories,socks,,
style and fashion,accessories,sunglasses,,
style and fashion,accessories,ties,,
style and fashion,accessories,wallets,,
style and fashion,accessories,watches,,
style and fashion,accessories,,,
style and fashion,beauty,cologne,,
style and fashion,beauty,cosmetics,,
style and fashion,beauty,cosmetology and beauty professionals,,
style and fashion,beauty,face and body care,,
style and fashion,beauty,hair care,,
style and fashion,beauty,perfume,,
style and fashion,beauty,tattoos,,
style and fashion,body art,,,
style and fashion,clothing,mens,,
style and fashion,clothing,womens,,
style and fashion,clothing,,,
style and fashion,fashion designers,,,
style and fashion,footwear,,,
style and fashion,jewelry,,,
style and fashion,luxury goods,,,
style and fashion,men 's fashion,,,
style and fashion,swimwear,,,
style and fashion,underwear,,,
style and fashion,,,,
technology and computing,computer certification,,,
technology and computing,computer crime,,,
technology and computing,computer reviews,,,
technology and computing,computer security,,,
technology and computing,consumer electronics,audio equipment,,
technology and computing,consumer electronics,camera and photo equipment,,
technology and computing,consumer electronics,ebook reader,,
technology and computing,consumer electronics,smartphones,android,
technology and computing,consumer electronics,smartphones,iphone,
technology and computing,consumer electronics,smartphones,nintendo,
technology and computing,consumer electronics,game systems and consoles,playstation,
technology and computing,consumer electronics,game systems and consoles,xbox,
technology and computing,consumer electronics,game systems and consoles,,
technology and computing,consumer electronics,tv and video equipment,,
technology and computing,consumer electronics,,,
technology and computing,data centers,,,
technology and computing,hardware,computer and equipment,desktop computer,
technology and computing,hardware,computer and equipment,laptop,
technology and computing,hardware,computer and equipment,servers,
technology and computing,hardware,computer components,,
technology and computing,hardware,computer peripherals,,
technology and computing,hardware,,,
technology and computing,internet technology,ecommerce,,
technology and computing,internet technology,email and chats,,
technology and computing,internet technology,social network,,
technology and computing,internet technology,web ui/ux,,
technology and computing,internet technology,web search,,
technology and computing,internet technology,,,
technology and computing,networking,network monitoring and management,,
technology and computing,networking,vpn and remote access,,
technology and computing,networking,,,
technology and computing,operating systems,linux,,
technology and computing,operating systems,mac os,,
technology and computing,operating systems,unix,,
technology and computing,operating systems,windows,,
technology and computing,operating systems,android,,
technology and computing,operating systems,iOS,,
technology and computing,operating systems,,,
technology and computing,programming,backend,,
technology and computing,programming,frontend,,
technology and computing,programming,game,,
technology and computing,programming,embedded,,
technology and computing,programming,languages,,
technology and computing,programming,framework,,
technology and computing,programming,databases,,
technology and computing,programming,,,
technology and computing,software,"graphics, music and animations",,
technology and computing,software,"shareware and freeware, opensource",,
technology and computing,software,,,
technology and computing,tech news,,,
technology and computing,technological innovation,,,
technology and computing,,,,
travel,budget travel,,,
travel,business travel,,,
travel,honeymoons and getaways,,,
travel,hotels,,,
travel,specialty travel,adventure travel,,
travel,specialty travel,ecotourism,,
travel,specialty travel,sightseeing tours,,
travel,specialty travel,vineyards,,
travel,tourist destinations,africa,,
travel,tourist destinations,australia and new zealand,,
travel,tourist destinations,canada,,
travel,tourist destinations,caribbean,,
travel,tourist destinations,eastern europe,,
travel,tourist destinations,europe,,
travel,tourist destinations,france,,
,tourist destinations,india,,
travel,tourist destinations,greece,,
travel,tourist destinations,italy,,
travel,tourist destinations,japan,,
travel,tourist destinations,mexico and central america,,
travel,tourist destinations,national parks,,
travel,tourist destinations,seaside resort,,
travel,tourist destinations,ski resorts,,
travel,tourist destinations,south america,,
travel,tourist destinations,spas,,
travel,tourist destinations,theme parks,,
travel,tourist destinations,united kingdom,,
travel,tourist destinations,,,
travel,tourist facilities,bed and breakfast,,
travel,tourist facilities,camping,,
travel,tourist facilities,hotel,,
travel,transports,air travel,,
travel,transports,public transport,,
travel,transports,road travel,road accident,
travel,transports,sea travel,cruises,
travel,transports,train travel,,
travel,,,,